ID,usd_goal_real,diff_days,deadline_year,deadline_month,deadline_day,deadline_weekday,launched_year,launched_month,launched_day,launched_weekday,country_recoded,main_category_recoded,subcategory_recoded,name_length,recoded_target
991494354,2000.0,30,2011,5,14,5,2011,4,14,3,22,3,36,28.0,1
1339648486,6500.0,30,2014,6,8,6,2014,5,9,4,22,6,129,39.0,1
1016916700,5000.0,45,2014,8,10,6,2014,6,26,3,22,10,90,42.0,0
471443296,109001.73,46,2014,4,16,2,2014,3,1,5,3,13,131,20.0,0
2078188021,32000.0,36,2014,2,18,1,2014,1,13,0,22,8,136,27.0,0
208641139,3300.0,30,2016,4,7,3,2016,3,8,1,22,13,149,32.0,0
822287626,23000.0,32,2013,8,9,4,2013,7,8,0,22,10,90,27.0,0
2101412964,450.0,30,2015,6,5,4,2015,5,6,2,22,2,154,47.0,1
340621309,1500.0,30,2015,5,1,4,2015,4,1,2,22,12,54,34.0,1
1152493358,55000.0,21,2014,10,9,3,2014,9,18,3,22,7,123,55.0,0
231439920,20000.0,30,2014,6,18,2,2014,5,19,0,22,8,136,9.0,0
98253862,7000.0,38,2015,10,11,6,2015,9,3,3,22,12,54,10.0,0
2005196022,8000.0,30,2016,7,16,5,2016,6,16,3,22,0,10,11.0,1
1887798209,2950.0,35,2017,5,18,3,2017,4,13,3,22,10,90,60.0,1
1696074983,3500.0,30,2015,8,30,6,2015,7,31,4,22,2,17,18.0,1
105879200,5000.0,29,2013,4,19,4,2013,3,21,3,22,6,129,25.0,0
169858743,12000.0,30,2016,11,20,6,2016,10,21,4,22,10,47,55.0,0
2082982067,7000.0,30,2011,6,18,5,2011,5,19,3,22,6,39,54.0,0
931616887,11362.99,60,2016,4,8,4,2016,2,8,0,12,7,58,40.0,0
2050519522,1000.0,30,2013,3,8,4,2013,2,6,2,22,10,72,33.0,0
194237485,28000.0,30,2013,7,3,2,2013,6,3,0,22,1,26,8.0,0
2034012011,1280.28,60,2017,9,28,3,2017,7,30,6,10,13,67,37.0,0
170804878,5000.0,37,2014,9,25,3,2014,8,19,1,22,7,27,21.0,0
1660036377,250.0,28,2012,10,17,2,2012,9,19,2,22,0,38,33.0,0
982505655,2500.0,22,2014,11,27,3,2014,11,5,2,22,10,72,28.0,0
1150886893,700.0,20,2015,1,6,1,2014,12,17,2,22,7,58,38.0,0
109458085,2000.0,30,2012,6,13,2,2012,5,14,0,22,12,19,37.0,1
1665756226,4500.0,46,2012,4,2,0,2012,2,16,3,22,6,55,9.0,1
445568517,15000.0,30,2013,3,28,3,2013,2,26,1,22,4,113,60.0,1
1125550231,1000000.0,30,2017,6,14,2,2017,5,15,0,22,13,131,20.0,0
1077675470,12000.0,30,2013,12,15,6,2013,11,15,4,22,12,54,24.0,0
282771135,15000.0,42,2015,8,20,3,2015,7,9,3,22,13,149,59.0,0
186752049,2500.0,60,2017,6,11,6,2017,4,12,2,22,1,25,28.0,1
1424881539,20051.43,30,2017,11,17,4,2017,10,18,2,8,4,113,57.0,1
1212863435,1500.0,30,2011,7,22,4,2011,6,22,2,22,12,54,33.0,0
993899319,4000.0,30,2014,9,1,0,2014,8,2,5,22,7,51,32.0,0
67739250,1200.0,30,2012,6,7,3,2012,5,8,1,22,10,72,54.0,1
1476164070,48736.6,35,2015,12,1,1,2015,10,27,1,3,13,138,36.0,0
1462248110,1200.0,30,2017,6,11,6,2017,5,12,4,22,8,106,56.0,0
681951245,5500.0,30,2011,8,25,3,2011,7,26,1,22,6,129,22.0,1
1588330220,100000.0,30,2016,8,9,1,2016,7,10,6,22,8,148,14.0,0
1843370116,7000.0,30,2012,3,28,2,2012,2,27,0,22,10,125,28.0,0
