ID,usd_goal_real,diff_days,deadline_year,deadline_month,deadline_day,deadline_weekday,launched_year,launched_month,launched_day,launched_weekday,country_recoded,main_category_recoded,subcategory_recoded,recoded_target
1772168462,17000.0,45,2011,3,3,3,2011,1,17,0,22,6,39,0
1939122577,163.01,35,2017,9,18,0,2017,8,14,0,3,8,148,1
1743799818,1092.9,30,2017,5,12,4,2017,4,12,2,9,8,62,0
1288417448,2500.0,30,2017,8,3,3,2017,7,4,1,22,6,129,0
1097651645,300.0,30,2012,5,10,3,2012,4,10,1,22,12,11,0
510457856,9078.75,35,2013,11,9,5,2013,10,5,5,3,10,90,0
1911150284,36000.0,30,2014,10,3,4,2014,9,3,2,22,7,58,0
2138599098,4096.0,21,2013,4,26,4,2013,4,5,4,22,4,65,0
2053683849,6900.0,36,2011,7,22,4,2011,6,16,3,22,0,10,1
396185098,11468.77,30,2015,4,9,3,2015,3,10,1,1,12,19,0
357711231,3500.0,52,2013,2,15,4,2012,12,25,1,22,8,148,0
1881099137,30450.0,60,2015,6,22,0,2015,4,23,3,22,4,113,0
434411816,8456.23,33,2016,2,6,5,2016,1,4,0,0,8,84,0
1178352893,1574.5,30,2014,10,3,4,2014,9,3,2,9,12,1,1
557758985,10000.0,30,2012,12,30,6,2012,11,30,4,22,6,93,1
1225747913,5053.35,30,2017,8,3,3,2017,7,4,1,15,12,100,0
354040289,386.9,10,2017,7,6,3,2017,6,26,0,9,2,32,0
1339997752,10000.0,60,2012,2,2,3,2011,12,4,6,22,0,87,1
811975975,3000.0,30,2015,1,1,3,2014,12,2,1,22,13,8,0
597041471,500.0,15,2013,4,2,1,2013,3,18,0,22,6,129,1
1605066695,45000.0,40,2012,6,26,1,2012,5,17,3,22,7,58,0
1034856550,250000.0,30,2013,8,7,2,2013,7,8,0,22,6,93,0
81135333,30000.0,60,2016,12,11,6,2016,10,12,2,22,10,119,0
555981099,397.87,32,2013,1,14,0,2012,12,13,3,9,6,129,0
961301865,10000.0,30,2013,8,9,4,2013,7,10,2,22,5,52,1
1924553775,37950.0,31,2012,2,21,1,2012,1,21,5,22,6,93,0
490608933,2000.0,21,2017,11,30,3,2017,11,9,3,22,8,136,1
675412772,10000.0,30,2014,9,11,3,2014,8,12,1,22,4,113,1
169375844,3000.0,30,2017,5,7,6,2017,4,7,4,22,1,66,1
1019872467,8500.0,45,2014,12,8,0,2014,10,24,4,22,10,116,0
1604873105,35000.0,30,2010,9,18,5,2010,8,19,3,22,6,5,0
1721957042,240000.0,30,2015,6,13,5,2015,5,14,3,22,13,132,0
1527808661,1000.0,30,2017,11,28,1,2017,10,29,6,22,12,54,0
644136849,11000.0,60,2014,7,15,1,2014,5,16,4,22,0,114,0
1332685936,750.0,20,2017,10,10,1,2017,9,20,2,22,13,35,0
102691588,3200.0,35,2014,6,25,2,2014,5,21,2,22,12,19,1
1463274640,3000.0,29,2016,11,16,2,2016,10,18,1,22,5,101,1
342941746,20000.0,20,2017,11,24,4,2017,11,4,5,22,6,49,0
1032385435,1000.0,20,2012,6,29,4,2012,6,9,5,22,0,10,1
1290231485,3000.0,60,2011,10,11,1,2011,8,12,4,22,6,39,1
650952381,1000.0,30,2011,8,22,0,2011,7,23,5,22,0,128,1
1710317410,7630.09,35,2016,5,18,2,2016,4,13,2,3,4,37,0
625205110,2500.0,40,2010,9,28,1,2010,8,19,3,22,10,90,1
794704677,10000.0,30,2014,1,4,5,2013,12,5,3,22,7,58,0
1445155737,25000.0,30,2017,5,2,1,2017,4,2,6,22,10,30,0
1403312279,5304.48,60,2017,2,18,5,2016,12,20,1,7,13,138,0
333366549,557.0,30,2016,10,6,3,2016,9,6,1,5,4,37,1
133651527,2500.0,30,2012,9,29,5,2012,8,30,3,22,1,26,1
844947588,10000.0,30,2016,10,14,4,2016,9,14,2,22,4,113,0
1083209829,30000.0,33,2013,1,30,2,2012,12,28,4,22,6,93,1
735283567,285.74,30,2016,6,11,5,2016,5,12,3,9,10,30,1
1322982624,5000.0,60,2017,9,27,2,2017,7,29,5,22,6,153,0
1221826560,500.0,30,2015,7,1,2,2015,6,1,0,22,2,17,0
317381231,1500.0,15,2013,7,11,3,2013,6,26,2,22,12,54,0
1789282082,10000.0,60,2015,3,10,1,2015,1,9,4,22,7,41,1
517934543,2700.0,5,2014,6,26,3,2014,6,21,5,22,0,10,0
1050998985,123000.0,30,2013,9,12,3,2013,8,13,1,22,6,5,0
1506474844,15000.0,28,2016,7,2,5,2016,6,4,5,22,6,55,0
61679054,68000.0,29,2016,6,22,2,2016,5,24,1,22,10,125,0
357358851,65000.0,30,2015,5,14,3,2015,4,14,1,22,8,148,1
1472171861,150.0,31,2016,7,15,4,2016,6,14,1,22,2,34,1
1683836659,20000.0,30,2015,7,9,3,2015,6,9,1,22,11,103,0
1105409207,5000000.0,35,2016,4,12,1,2016,3,8,1,22,6,89,0
1187599692,170400.33,30,2015,10,10,5,2015,9,10,3,8,13,16,1
1257314587,3500.0,19,2014,6,4,2,2014,5,16,4,22,0,87,1
1366428775,20000.0,60,2011,11,10,3,2011,9,11,6,22,10,125,0
604790919,40000.0,55,2013,6,1,5,2013,4,7,6,22,6,55,1
1938836364,20000.0,30,2013,8,15,3,2013,7,16,1,22,12,54,0
754817066,1000.0,30,2012,3,1,3,2012,1,31,1,22,11,104,1
1247345864,3000.0,39,2015,7,13,0,2015,6,4,3,22,1,66,0
1423529606,10000.0,30,2014,9,10,2,2014,8,11,0,22,4,37,0
1480043138,2500.0,30,2016,7,27,2,2016,6,27,0,22,5,76,1
1169957661,5000.0,30,2014,9,27,5,2014,8,28,3,22,8,136,1
242187877,4977.48,18,2016,12,11,6,2016,11,23,2,9,6,129,1
584836093,7500.0,36,2016,2,18,3,2016,1,13,2,22,13,149,0
2039568710,7485.37,30,2013,7,4,3,2013,6,4,1,9,0,96,0
719785485,20000.0,45,2013,6,28,4,2013,5,14,1,22,10,68,0
2025405079,9532.79,25,2016,11,20,6,2016,10,26,2,5,0,96,1
311165992,1250.0,59,2016,12,28,2,2016,10,30,6,22,12,54,0
811830318,5000.0,90,2010,4,9,4,2010,1,9,5,22,0,38,1
447674228,2000.0,30,2017,5,21,6,2017,4,21,4,22,10,68,0
1694238682,9000.0,30,2012,3,14,2,2012,2,13,0,22,10,90,1
109124921,12000.0,30,2016,10,26,2,2016,9,26,0,22,10,90,0
246620514,22000.0,60,2014,2,23,6,2013,12,25,2,22,13,67,1
1082331320,22000.0,45,2011,12,17,5,2011,11,2,2,22,13,138,0
1906065809,13000.0,22,2012,11,3,5,2012,10,12,4,22,6,55,1
1394400440,8000.0,30,2012,5,30,2,2012,4,30,0,22,6,39,0
1664468869,20000.0,24,2014,11,1,5,2014,10,8,2,22,12,115,0
1843635082,1000.0,30,2015,3,16,0,2015,2,14,5,22,13,151,0
1412429683,12100.0,30,2013,10,3,3,2013,9,3,1,22,0,10,1
1412419955,1319.05,30,2015,3,23,0,2015,2,21,5,3,6,24,0
899966004,125.0,30,2010,12,4,5,2010,11,4,3,22,10,125,1
1169036865,10000.0,30,2014,3,2,6,2014,1,31,4,22,7,58,0
804935925,5000.0,30,2015,6,10,2,2015,5,11,0,22,7,59,0
940597186,5000.0,30,2011,5,8,6,2011,4,8,4,22,8,136,1
790319413,15000.0,30,2014,3,17,0,2014,2,15,5,22,12,95,1
352592934,3200.0,20,2014,5,22,3,2014,5,2,4,22,0,114,0
1556851274,25000.0,42,2013,8,20,1,2013,7,9,1,22,10,90,0
34475618,2500.0,30,2015,4,26,6,2015,3,27,4,22,6,153,0
874816554,10886.96,60,2015,12,29,1,2015,10,30,4,2,5,60,0
417009726,5367.6,30,2013,11,8,4,2013,10,9,2,9,12,11,1
968709492,5000.0,12,2014,7,22,1,2014,7,10,3,22,7,41,1
1847273466,5000.0,45,2015,5,17,6,2015,4,2,3,22,7,44,0
1474487151,15000.0,30,2016,7,18,0,2016,6,18,5,22,12,115,0
1197684559,10947.03,40,2015,12,20,6,2015,11,10,1,8,6,129,1
1604762560,5000.0,30,2014,6,29,6,2014,5,30,4,22,0,10,1
432008481,2000.0,17,2013,1,20,6,2013,1,3,3,22,0,10,1
544387606,12000.0,30,2015,8,27,3,2015,7,28,1,22,11,103,1
1869264854,12000.0,36,2010,8,5,3,2010,6,30,2,22,7,58,1
1321625050,500.0,30,2015,4,30,3,2015,3,31,1,22,5,76,0
1938081369,2000.0,39,2010,11,1,0,2010,9,23,3,22,10,90,1
1727065970,2500.0,15,2013,4,2,1,2013,3,18,0,22,0,87,0
1318745814,10000.0,60,2015,12,27,6,2015,10,28,2,22,8,148,0
288788237,6000.0,30,2013,3,28,3,2013,2,26,1,22,0,98,1
1132892164,1500.0,30,2016,7,29,4,2016,6,29,2,22,6,40,0
1823924150,53446.72,33,2017,11,20,0,2017,10,18,2,8,6,129,0
1586789124,12112.04,30,2017,2,27,0,2017,1,28,5,1,6,40,1
1495346176,140000.0,30,2017,2,27,0,2017,1,28,5,22,4,113,1
810620121,1000.0,33,2017,5,20,5,2017,4,17,0,22,14,141,1
701031116,2000.0,30,2015,6,30,1,2015,5,31,6,22,13,35,0
1572263122,15000.0,30,2016,3,17,3,2016,2,16,1,22,5,2,0
1484232506,500.0,30,2015,3,14,5,2015,2,12,3,22,0,96,0
54008517,6400.0,30,2017,5,17,2,2017,4,17,0,22,14,107,1
386984764,35000.0,30,2015,7,24,4,2015,6,24,2,22,5,7,1
638932703,30000.0,30,2012,7,26,3,2012,6,26,1,22,12,95,0
1392537756,1542.31,60,2015,9,10,3,2015,7,12,6,9,8,106,0
2128241748,6400.0,30,2013,3,22,4,2013,2,20,2,22,10,72,1
924560113,900.0,30,2012,3,7,2,2012,2,6,0,22,4,65,1
227218644,300000.0,60,2017,10,20,4,2017,8,21,0,22,10,68,0
1156457561,33000.0,45,2012,9,3,0,2012,7,20,4,22,6,55,0
1529745081,500.0,45,2010,12,5,6,2010,10,21,3,22,6,55,0
