ID,usd_goal_real,diff_days,deadline_year,deadline_month,deadline_day,deadline_weekday,launched_year,launched_month,launched_day,launched_weekday,launched_hour,country_recoded,main_category_recoded,subcategory_recoded,name_length,recoded_target
1454207833,30000.0,30,2016,6,15,2,2016,5,16,0,7,22,0,10,14.0,0
1079672057,5600.0,60,2017,8,4,4,2017,6,5,0,4,22,6,5,41.0,0
848830499,5000.0,30,2015,6,21,6,2015,5,22,4,21,22,9,146,55.0,0
393339571,4607.23,26,2016,8,1,0,2016,7,6,2,0,3,8,136,11.0,0
1106979240,300.0,30,2014,9,28,6,2014,8,29,4,1,22,10,125,28.0,1
240299672,1250.0,53,2012,3,30,4,2012,2,6,0,20,22,6,129,9.0,1
414779774,2500.0,17,2013,1,15,1,2012,12,29,5,2,22,10,90,27.0,0
485649963,1000.0,27,2014,12,31,2,2014,12,4,3,17,22,3,99,14.0,1
1424775078,3000.0,45,2015,8,17,0,2015,7,3,4,19,22,10,30,27.0,1
610240380,11153.99,30,2016,6,3,4,2016,5,4,2,20,17,8,136,57.0,0
848621777,15961.99,14,2016,11,30,2,2016,11,16,2,20,5,4,113,35.0,0
78525656,10000.0,30,2014,11,15,5,2014,10,16,3,1,22,2,154,15.0,0
1799491078,10000.0,30,2012,10,25,3,2012,9,25,1,17,22,14,141,30.0,0
2096736181,8500.0,49,2013,3,1,4,2013,1,11,4,21,22,10,90,35.0,1
756002749,540.4,37,2016,1,21,3,2015,12,15,1,16,17,12,19,59.0,1
788224211,300.0,30,2014,6,15,6,2014,5,16,4,19,22,5,7,21.0,0
486706492,4000.0,29,2014,10,21,1,2014,9,22,0,18,22,7,51,14.0,0
551676144,20000.0,48,2016,3,1,1,2016,1,13,2,21,22,7,58,34.0,0
1351044654,5324.98,57,2017,2,15,2,2016,12,20,1,1,17,11,97,36.0,0
688919524,5000.0,33,2011,12,7,2,2011,11,4,4,7,22,12,11,54.0,0
862798099,3500.0,30,2013,3,27,2,2013,2,25,0,16,22,3,36,59.0,1
403364525,12000.0,33,2015,11,11,2,2015,10,9,4,5,22,7,59,60.0,1
571335892,10000.0,60,2017,2,28,1,2016,12,30,4,19,22,5,7,8.0,0
1558811623,10000.0,90,2010,11,22,0,2010,8,24,1,8,22,6,55,37.0,0
1308897780,35000.0,30,2017,6,12,0,2017,5,13,5,20,22,12,95,27.0,0
875264422,5000.0,48,2015,6,18,3,2015,5,1,4,15,22,0,87,13.0,0
357923229,500.0,30,2016,3,2,2,2016,2,1,0,6,22,4,113,46.0,1
769540185,10000.0,30,2012,8,22,2,2012,7,23,0,19,22,12,19,28.0,0
1160535226,1500.0,31,2013,3,15,4,2013,2,12,1,20,22,12,115,52.0,0
502402224,1500.0,30,2015,10,25,6,2015,9,25,4,2,22,6,24,45.0,0
1581094221,1000.0,45,2013,3,22,4,2013,2,5,1,21,22,10,125,30.0,0
930592500,2000.0,30,2013,3,24,6,2013,2,22,4,2,22,0,87,17.0,0
1317395387,2000.0,30,2012,11,2,4,2012,10,3,2,3,22,11,104,37.0,0
189120766,54000.17,45,2015,5,10,6,2015,3,26,3,18,3,7,59,4.0,0
1059507407,6000.0,22,2010,5,7,4,2010,4,15,3,17,22,14,141,27.0,1
1570204449,1000.0,30,2012,12,28,4,2012,11,28,2,1,22,10,125,48.0,1
1554322549,113.37,50,2015,12,31,3,2015,11,11,2,22,18,6,39,14.0,0
671090856,165755.0,30,2016,4,23,5,2016,3,24,3,1,22,7,123,36.0,0
1740963176,70000.0,57,2012,10,4,3,2012,8,8,2,2,22,6,39,38.0,0
2129505780,25000.0,60,2015,6,26,4,2015,4,27,0,7,22,5,60,22.0,0
1832484577,3000.0,15,2016,6,15,2,2016,5,31,1,17,22,0,10,49.0,0
1439554496,5000.0,30,2010,11,28,6,2010,10,29,4,15,22,6,39,52.0,1
336994835,5500.0,45,2015,4,25,5,2015,3,11,2,3,22,10,23,54.0,1
1065285257,2000.0,30,2015,7,30,3,2015,6,30,1,19,22,1,26,6.0,0
713434138,10000.0,40,2014,6,19,3,2014,5,10,5,0,22,10,68,29.0,0
2032949672,50000.0,41,2015,12,20,6,2015,11,9,0,16,22,13,149,55.0,0
1581034424,3300.0,40,2014,12,31,2,2014,11,21,4,18,22,12,19,58.0,1
707405520,5000.0,30,2012,7,1,6,2012,6,1,4,4,22,0,28,59.0,0
264642887,30000.0,30,2015,11,6,4,2015,10,7,2,16,22,13,149,55.0,1
2067718205,11000.0,68,2010,9,11,5,2010,7,5,0,21,22,6,129,10.0,0
2146732039,53000.0,55,2012,12,30,6,2012,11,5,0,6,22,12,19,47.0,0
942971061,22000.0,22,2016,12,10,5,2016,11,18,4,17,22,3,99,28.0,0
1816026278,1500.0,55,2013,7,16,1,2013,5,22,2,18,22,10,30,15.0,0
434123837,1889.93,30,2015,4,18,5,2015,3,19,3,14,9,7,130,27.0,1
990035915,2000.0,31,2014,6,16,0,2014,5,16,4,18,22,12,19,41.0,0
1467943371,38000.0,60,2014,12,7,6,2014,10,8,2,1,22,0,96,31.0,0
64912113,8000.64,60,2017,10,8,6,2017,8,9,2,6,3,5,52,11.0,0
2137709055,5000.0,45,2012,5,11,4,2012,3,27,1,14,22,12,54,35.0,0
1738029401,3500.0,30,2016,12,1,3,2016,11,1,1,2,22,1,25,21.0,0
1205533158,1500.0,30,2013,12,18,2,2013,11,18,0,17,22,4,113,54.0,0
1856834203,5000.0,30,2012,8,4,5,2012,7,5,3,23,22,6,129,32.0,0
15617273,10000.0,24,2016,11,10,3,2016,10,17,0,1,22,5,7,21.0,0
470971713,400.0,11,2016,5,15,6,2016,5,4,2,22,22,10,90,54.0,1
2086718213,3000.0,30,2015,5,24,6,2015,4,24,4,19,22,13,138,10.0,0
709778423,8560.03,25,2014,7,5,5,2014,6,10,1,20,9,0,10,26.0,0
579231766,600.0,30,2015,3,29,6,2015,2,27,4,15,22,7,51,28.0,1
1312810727,1000.0,30,2012,4,27,4,2012,3,28,2,0,22,10,72,45.0,1
1995449346,10000.0,14,2015,1,31,5,2015,1,17,5,22,22,8,136,15.0,1
571709005,1000.0,30,2017,12,14,3,2017,11,14,1,10,22,13,149,57.0,1
1087899927,65967.73,30,2016,1,23,5,2015,12,24,3,4,3,6,39,20.0,0
381589877,2000.0,22,2015,8,13,3,2015,7,22,2,2,22,10,23,26.0,1
1565591725,8000.0,55,2011,9,5,0,2011,7,12,1,4,22,10,125,12.0,1
964838896,1000.0,42,2011,6,3,4,2011,4,22,4,8,22,3,36,57.0,1
1248693953,2500.0,16,2012,6,9,5,2012,5,24,3,4,22,0,114,18.0,1
1280356321,12689.15,15,2017,9,2,5,2017,8,18,4,17,4,10,42,7.0,0
923178380,15000.0,30,2017,10,1,6,2017,9,1,4,18,22,8,106,15.0,0
1725180340,6500.0,60,2012,2,13,0,2011,12,15,3,21,22,6,129,26.0,0
899315360,10000.0,60,2012,6,5,1,2012,4,6,4,5,22,6,39,8.0,0
260265310,16409.31,40,2014,1,6,0,2013,11,27,2,13,9,8,148,52.0,0
1613453401,3000.0,30,2016,8,25,3,2016,7,26,1,6,22,12,1,19.0,1
1585160305,650.0,30,2017,3,26,6,2017,2,24,4,2,22,10,109,51.0,0
1272754878,3158.56,40,2015,4,7,1,2015,2,26,3,0,3,6,39,14.0,0
986399543,5500.0,30,2012,7,3,1,2012,6,3,6,9,22,12,54,45.0,0
2028305399,15000.0,29,2015,10,30,4,2015,10,1,3,13,22,12,11,57.0,1
1676953905,2750.0,32,2013,1,5,5,2012,12,4,1,17,22,10,23,16.0,1
241295713,36000.0,40,2017,8,6,6,2017,6,27,1,23,22,10,90,60.0,0
501585731,25000.0,30,2015,11,5,3,2015,10,6,1,17,22,3,155,30.0,0
76400307,4000.0,21,2015,8,11,1,2015,7,21,1,18,22,3,36,21.0,1
1939944150,35000.0,30,2012,9,26,2,2012,8,27,0,6,22,0,128,53.0,0
